ID,Class Name,Date,Time (IST),Dimensions (Width x Height),Xmin,Ymin,Xmax,Ymax,Frame Width,Frame Height
2,bus,18-11-2024,03:05:40 PM,173x376,845,55,1018,431,1440,1616
1,car,18-11-2024,03:05:41 PM,240x285,79,53,319,338,1440,1616
2,bus,18-11-2024,03:05:41 PM,173x373,845,57,1018,430,1440,1616
1,car,18-11-2024,03:05:43 PM,241x282,78,54,319,336,1440,1616
2,bus,18-11-2024,03:05:43 PM,175x377,844,54,1019,431,1440,1616
1,car,18-11-2024,03:05:44 PM,245x284,76,54,321,338,1440,1616
2,bus,18-11-2024,03:05:44 PM,173x370,845,58,1018,428,1440,1616
1,car,18-11-2024,03:05:45 PM,241x285,78,53,319,338,1440,1616
2,bus,18-11-2024,03:05:45 PM,175x370,844,51,1019,421,1440,1616
1,car,18-11-2024,03:05:47 PM,244x283,77,55,321,338,1440,1616
2,bus,18-11-2024,03:05:47 PM,176x376,844,55,1020,431,1440,1616
1,car,18-11-2024,03:05:48 PM,242x285,77,53,319,338,1440,1616
2,bus,18-11-2024,03:05:48 PM,173x373,845,56,1018,429,1440,1616
1,car,18-11-2024,03:05:50 PM,243x287,77,52,320,339,1440,1616
2,bus,18-11-2024,03:05:50 PM,173x371,845,57,1018,428,1440,1616
1,car,18-11-2024,03:05:51 PM,242x282,77,55,319,337,1440,1616
2,bus,18-11-2024,03:05:51 PM,172x371,846,57,1018,428,1440,1616
1,car,18-11-2024,03:05:53 PM,242x281,84,55,326,336,1440,1616
2,bus,18-11-2024,03:05:53 PM,173x372,851,57,1024,429,1440,1616
1,car,18-11-2024,03:05:54 PM,240x282,85,54,325,336,1440,1616
2,bus,18-11-2024,03:05:54 PM,171x376,846,55,1017,431,1440,1616
1,car,18-11-2024,03:05:56 PM,245x283,76,54,321,337,1440,1616
2,bus,18-11-2024,03:05:56 PM,173x372,845,57,1018,429,1440,1616
1,car,18-11-2024,03:05:57 PM,244x286,76,53,320,339,1440,1616
2,bus,18-11-2024,03:05:57 PM,173x372,845,57,1018,429,1440,1616
1,car,18-11-2024,03:05:58 PM,244x283,76,54,320,337,1440,1616
2,bus,18-11-2024,03:05:58 PM,172x372,846,57,1018,429,1440,1616
1,car,18-11-2024,03:06:00 PM,242x282,78,55,320,337,1440,1616
2,bus,18-11-2024,03:06:00 PM,173x372,845,57,1018,429,1440,1616
1,car,18-11-2024,03:06:01 PM,245x285,76,53,321,338,1440,1616
2,bus,18-11-2024,03:06:01 PM,170x368,853,59,1023,427,1440,1616
1,car,18-11-2024,03:06:03 PM,243x284,77,54,320,338,1440,1616
2,bus,18-11-2024,03:06:03 PM,173x375,845,56,1018,431,1440,1616
1,car,18-11-2024,03:06:04 PM,245x282,76,55,321,337,1440,1616
2,bus,18-11-2024,03:06:04 PM,173x377,845,55,1018,432,1440,1616
1,car,18-11-2024,03:06:06 PM,245x283,82,54,327,337,1440,1616
2,bus,18-11-2024,03:06:06 PM,173x374,845,56,1018,430,1440,1616
1,car,18-11-2024,03:06:07 PM,246x280,82,55,328,335,1440,1616
2,bus,18-11-2024,03:06:07 PM,173x373,845,56,1018,429,1440,1616
3,person,18-11-2024,03:06:07 PM,64x302,463,45,527,347,1440,1616
1,car,18-11-2024,03:06:08 PM,243x280,83,56,326,336,1440,1616
2,person,18-11-2024,03:06:08 PM,62x265,477,23,539,288,1440,1616
3,bus,18-11-2024,03:06:08 PM,173x373,845,56,1018,429,1440,1616
1,car,18-11-2024,03:06:10 PM,244x283,77,54,321,337,1440,1616
2,bus,18-11-2024,03:06:10 PM,175x375,844,55,1019,430,1440,1616
